repoId,repo,sourceType,domain,method,coverageCategory,normalizedPath,path,handler,request,response,evidenceFile,evidenceLine
backend,reabam-mop-b2b,backend-controller,other,GET,backend-and-frontend,/activity/liveChannels/checkItemShow,/activity/liveChannels/checkItemShow,LiveChannelsController.checkItemShow,"String skcCode,String channelId",Response<Boolean>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,315
backend,reabam-mop-b2b,backend-controller,other,GET,backend-and-frontend,/activity/liveChannels/currentBrand/liveInfo,/activity/liveChannels/currentBrand/liveInfo,LiveChannelsController.currentBrandLiveInfo,,Response<CurrentBrandLiveInfoVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,354
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/del,/activity/liveChannels/del,LiveChannelsController.del,IdBean idBean,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,157
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/detail,/activity/liveChannels/detail,LiveChannelsController.detail,IdBean idBean,Response<LiveChannelsResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,87
backend,reabam-mop-b2b,backend-controller,other,GET,backend-only,/activity/liveChannels/detailById,/activity/liveChannels/detailById,LiveChannelsController.detailById,Long id,Response<LiveChannelsVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,79
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/detailOfMuDuId,/activity/liveChannels/detailOfMuDuId,LiveChannelsController.getDetailOfMuDuId,IdBean idBean,Response<LiveChannelsResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,95
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/edit/live,/activity/liveChannels/edit/live,LiveChannelsController.editLive,EditLiveReq req,Response<Long>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,259
backend,reabam-mop-b2b,backend-controller,customer-org,POST,backend-only,/activity/liveChannels/filterCompanyByChannelId,/activity/liveChannels/filterCompanyByChannelId,LiveChannelsController.filterCompanyByChannelId,LiveChannelsFilterCompanyReq req,Response<List<SysCompanyInfoDTO>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,372
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/getJumpMuDuLiveUrl,/activity/liveChannels/getJumpMuDuLiveUrl,LiveChannelsController.getJumpMuDuLiveUrl,LiveChannelsJumpLinkReq req,Response<String>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,166
backend,reabam-mop-b2b,backend-controller,customer-org,POST,backend-and-frontend,/activity/liveChannels/getUser/sysCompanyInfoPage,/activity/liveChannels/getUser/sysCompanyInfoPage,LiveChannelsController.getUserSysCompanyInfoPage,LiveSysCompanyInfoReq req,Response<RespPage<LiveSysCompanyInfoVO>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,338
backend,reabam-mop-b2b,backend-controller,report-export,POST,backend-only,/activity/liveChannels/label/store/export,/activity/liveChannels/label/store/export,LiveChannelsController.queryStorePageByLabelExport,LiveIdReq req,Response<RespPage<StoreExcelRes>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,139
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/label/store/page,/activity/liveChannels/label/store/page,LiveChannelsController.queryStorePageByLabel,LiveIdAndStoreIdAndNameReq req,Response<RespPage<SysCompanyVO>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,130
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/live/addActivity,/activity/liveChannels/live/addActivity,LiveChannelsController.LiveAddActivity,LiveAddActivityReq req,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,222
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/live/addshop,/activity/liveChannels/live/addshop,LiveChannelsController.liveAddShop,LiveAddShopReq req,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,241
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/live/page,/activity/liveChannels/live/page,LiveChannelsController.queryLivePage,LiveIdAndNameAndStatusReq req,Response<RespPage<LivePageVo>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,103
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/live/queryshop,/activity/liveChannels/live/queryshop,LiveChannelsController.liveQueryshop,liveQueryshopReq req,Response<QueryshopVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,250
backend,reabam-mop-b2b,backend-controller,customer-org,POST,backend-only,/activity/liveChannels/mini/getLiveChannelsByCompanyIdAndActivityId,/activity/liveChannels/mini/getLiveChannelsByCompanyIdAndActivityId,LiveChannelsMiniController.getLiveChannelsByCompanyIdAndActivityId,"String companyId, String activityId",Response<LiveChannelsDetailMiniResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/mini/LiveChannelsMiniController.java,29
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/more,/activity/liveChannels/more,LiveChannelsController.more,LiveChannelsMoreReq req,Response<RespPage<LiveChannelsMoreVO>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,292
backend,reabam-mop-b2b,backend-controller,other,POST,backend-only,/activity/liveChannels/muDuLiveCallback,/activity/liveChannels/muDuLiveCallback,LiveChannelsController.liveChannelCallback,LiveCallbackDTO req,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,267
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/new/live,/activity/liveChannels/new/live,LiveChannelsController.newLive,NewLiveReq req,Response<Long>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,206
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/online/count,/activity/liveChannels/online/count,LiveChannelsController.getOnlineCount,IdBean idBean,Response<Integer>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,284
backend,reabam-mop-b2b,backend-controller,mid-presale,POST,backend-and-frontend,/activity/liveChannels/presaleOrder/cnt,/activity/liveChannels/presaleOrder/cnt,LiveChannelsController.presaleOrderStat,PresaleOrderPageReq req,Response<PresaleOrderStatVo>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,185
backend,reabam-mop-b2b,backend-controller,mid-presale,POST,backend-and-frontend,/activity/liveChannels/presaleOrder/gather,/activity/liveChannels/presaleOrder/gather,LiveChannelsController.presaleOrderGather,PresaleOrderStatisticsReq req,Response<PresaleOrderStatisticsResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,195
backend,reabam-mop-b2b,backend-controller,mid-presale,POST,backend-and-frontend,/activity/liveChannels/presaleOrder/page,/activity/liveChannels/presaleOrder/page,LiveChannelsController.presaleOrderPage,PresaleOrderPageReq req,Response<RespPage<PresaleOrderPageVo>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,174
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/query/activity/commodity,/activity/liveChannels/query/activity/commodity,LiveChannelsController.queryActivityCommodity,ActivityCommodityReq req,Response<RespPage<CommodityMessageVO>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,323
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/liveChannels/query/live,/activity/liveChannels/query/live,LiveChannelsController.queryLiveById,QueryLiveReq req,Response<LiveChannelsVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java,214
