normalizedPath,domains,repos,methods,occurrences,coverageCategory,evidence
/product/directSupplyPackageSku/detailById,product-skc-sku,backend,GET,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/DirectSupplyPackageSkuController.java:37
/product/directSupplyPackageSku/exportModelItemList,report-export,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/DirectSupplyPackageSkuController.java:59
/product/directSupplyPackageSku/queryModelItemPage,product-skc-sku,backend|admin-v2,POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/DirectSupplyPackageSkuController.java:48 | semir-bmall-admin-v2/app/src/pages/directSupplyManagementPackage/service/index.ts:293
/product/doc/barcodes,product-skc-sku,backend,POST,2,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:596 | reabam-mop-b2b/reabam-support/reabam-support-product/src/main/java/com/reabam/feign/AllotOrderClient.java:40
/product/doc/barcodes/temp,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:610 | semir-reabam-admin/src/js/api.js:1571
/product/export/stock,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2381
/product/findShAccount,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/dock/shenhui/controller/ItemAsyncController.java:62 | semir-reabam-admin/src/js/api.js:2908
/product/getBookingRecords,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2575 | semir-reabam-admin/src/js/api.js:1617
/product/getFixedBomItemList,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2853
/product/getItemSpecListOfSpecIdList,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsV2Controller.java:175 | semir-reabam-admin/src/js/api.js:3082
/product/getPurchasePrice,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsV2Controller.java:135 | semir-reabam-admin/src/js/api.js:2034
/product/getTableUniqueNo,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:1828
/product/guide/mitem/detail,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:1139
/product/guide/priceList/addItem,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:1580
/product/guide/priceList/delete,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:1620
/product/guide/priceList/findItemList,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:1555
/product/in/barcodes,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:629
/product/info/batchGetBillmaterialsByItemIds,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:110
/product/info/batchGetItemSimpleMap,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:86
/product/info/batchGetItemSpecSimpleMap,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:92
/product/info/batchGetSpecBillmaterialsByItemIds,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:116
/product/info/batchUpdateStatus/group,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:69 | semir-reabam-admin/src/js/api.js:3131
/product/info/batchUpdateStatus/label,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:80 | semir-reabam-admin/src/js/api.js:3132
/product/info/batchUpdateStatus/package,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:58 | semir-reabam-admin/src/js/api.js:3130
/product/info/getBillmaterialsByItemId,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:104
/product/info/getBillmaterialsDetailByBomId,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:122
/product/info/getItemDefaultImg,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:98
/product/info/getProductAttribute,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:144
/product/info/getSkcSizeRatioCal,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:164 | semir-reabam-admin/src/js/api.js:3074
/product/info/getSpecDetailBySpecId,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:136
/product/info/getSpecInfoBySpecIds,product-skc-sku,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:154 | reabam-mop-b2b/reabam-support/reabam-support-product/src/main/java/com/reabam/feign/MitemInfoClient.java:23 | semir-reabam-admin/src/js/api.js:3069
/product/info/item/list/page,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductInfoController.java:48 | semir-reabam-admin/src/js/api.js:3136
/product/inStoreMachining/add,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:79
/product/inStoreMachining/adjust,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:120
/product/inStoreMachining/cancel,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:206
/product/inStoreMachining/delete,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:183
/product/inStoreMachining/detail,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:65 | semir-reabam-admin/src/js/api.js:2022
/product/inStoreMachining/finish,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:193
/product/inStoreMachining/list,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:51 | semir-reabam-admin/src/js/api.js:2020
/product/inStoreMachining/receipt,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:140
/product/inStoreMachining/refund,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:163
/product/inStoreMachining/saveBatch,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/productNew/inStoreMachining/controller/InStoreMachiningController.java:98
/product/inventory/band/exceladd,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:340
/product/inventory/delete,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:100
/product/inventory/get_itemstock_by_specids,stock,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:458 | semir-reabam-admin/src/js/api.js:1516
