normalizedPath,domains,repos,methods,occurrences,coverageCategory,evidence
/product/item/group/qty,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:174 | semir-reabam-admin/src/js/api.js:316
/product/item/importimg,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2359
/product/item/intellectAi/getCompanyDiagnosisData,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/IntellectAiMItemController.java:56
/product/item/intellectAi/getIntellectAiOrderCreateBeforeSkcData,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/IntellectAiMItemController.java:33
/product/item/intellectAi/itemData,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/IntellectAiMItemController.java:41
/product/item/intellectAi/itemDataByUserAllCompanyAuth,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/IntellectAiMItemController.java:49
/product/item/listCacheByIds,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/client/MitemDomainClient.java:51
/product/item/mapCacheByIds,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/client/MitemDomainClient.java:64
/product/item/mitemlabel,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2486 | semir-reabam-admin/src/js/api.js:1543
/product/item/mitemlabel/add,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2500 | semir-reabam-admin/src/js/api.js:1541
/product/item/mitemlabel/del,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2515 | semir-reabam-admin/src/js/api.js:1553
/product/item/page/syncStockSellOut,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:152
